Indicator,TTR Name,quantmod Name
Welles Wilder's Directional Movement Indicator,ADX,addADX
Average True Range,ATR,addATR
Bollinger Bands,BBands,addBBands
Commodity Channel Index,CCI,addCCI
Chaiken Money Flow,CMF,addCMF
Chande Momentum Oscillator,CMO,addCMO
Double Exponential Moving Average,DEMA,addDEMA
Detrended Price Oscillator,DPO,addDPO
Exponential Moving Average,EMA,addEMA
Exponential Volume Weigthed Moving Average,EVWMA,addEVWMA
Moving Average Convergence Divergence,MACD,addMACD
Momentum,momentum,addMomentum
Rate of Change,ROC,addROC
Relative Strength Indicator,RSI,addRSI
Parabolic Stop and Reverse,SAR,addSAR
Simple Moving Average,SMA,addSMA
Stocastic Momentum Index,SMI,addSMI
Triple Smoothed Exponential Oscillator,TRIX,addTRIX
Weighted Moving Average,WMA,addWMA
Williams %R,WPR,addWPR
ZLEMA,ZLEMA,addZLEMA
Bollinger Band Width,,addBBands
Bollinger %b,,addBBands
Price Envelope,,addEnvelope
Options and Futures Expiration,,addExpiry
Volume,,addVo
